Kategorie,Studienfach
Wirtschaftswissenschaften,Wirtschaftsingenieurwesen mit wirtschaftswiss. Schwerpunkt
"Sozial- und Verhaltenswissenschaften, Sport",Interdisziplinäre Studien (Schwerpunkt Sozial- und Verhaltenswissenschaften)
"Sozial- und Verhaltenswissenschaften, Sport",Lernbereich Gesellschaftslehre
"Sozial- und Verhaltenswissenschaften, Sport",Orientierungsstudium Gesellschaftswissenschaften
"Sozial- und Verhaltenswissenschaften, Sport",Lateinamerika-Studien
"Sozial- und Verhaltenswissenschaften, Sport",Ost- und Südosteuropa-Studien
"Sozial- und Verhaltenswissenschaften, Sport",Sonstige Regionalwissenschaften
"Sozial- und Verhaltenswissenschaften, Sport",Politikwissenschaft/Politologie
"Sozial- und Verhaltenswissenschaften, Sport",Sozialkunde
"Sozial- und Verhaltenswissenschaften, Sport",Sozialwissenschaften
"Sozial- und Verhaltenswissenschaften, Sport",Soziologie
"Sozial- und Verhaltenswissenschaften, Sport",Soziale Arbeit
"Sozial- und Verhaltenswissenschaften, Sport",Sozialpädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Sozialwesen
"Sozial- und Verhaltenswissenschaften, Sport",Psychologie
"Sozial- und Verhaltenswissenschaften, Sport",Ausländerpädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Berufs- und Wirtschaftspädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Erwachsenenbildung und außerschulische Jugendbildung
"Sozial- und Verhaltenswissenschaften, Sport",Erziehungswissenschaften (Pädagogik)
"Sozial- und Verhaltenswissenschaften, Sport",Grundschul-/Primarstufenpädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Kindheitspädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Sachunterricht (einschl. Schulgarten)
"Sozial- und Verhaltenswissenschaften, Sport",Schulpädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Sonderpädagogik
"Sozial- und Verhaltenswissenschaften, Sport",Kommunikationswissenschaft/Publizistik
"Sozial- und Verhaltenswissenschaften, Sport",Sportpädagogik/Sportpsychologie
"Sozial- und Verhaltenswissenschaften, Sport",Sportwissenschaft
Außerhalb der Studienbereichsgliederung,Sonstiges Orientierungsstudium
Außerhalb der Studienbereichsgliederung,Studienkolleg
Außerhalb der Studienbereichsgliederung,Sonstige Fächer
Sonstige,Sonstige
